"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
2020-08-04;0,921605762739438;0,874853963802813;0,96955736712298
2020-08-05;0,96161952605297;0,91351826367985;1,0109375646536
2020-08-06;0,955774882045913;0,907420761158018;1,00536648822368
2020-08-07;0,954894696681987;0,906222508527163;1,00482210507475
2020-08-08;0,969952553914855;0,920563563358796;1,02061390964914
2020-08-09;0,964397159575373;0,914866005430939;1,01521567849917
2020-08-10;0,978684280385275;0,928523889635431;1,03014560715122
2020-08-11;1,04485720921446;0,992780848055634;1,09824602711344
2020-08-12;1,04550228639998;0,993444871487383;1,09887036105246
2020-08-13;1,12275831895405;1,06907052544626;1,17774291393896
2020-08-14;1,28944561580298;1,23251013699165;1,34764861576554
2020-08-15;1,27888454075364;1,2236485423106;1,33532277842621
2020-08-16;1,23241258233924;1,1801247751249;1,28581790321418
2020-08-17;1,24480815988705;1,1940662060144;1,2965911612443
2020-08-18;1,21005779765504;1,16166425591322;1,25942506479147
2020-08-19;1,24822412208204;1,20056478353494;1,29679814245457
2020-08-20;1,28109064797362;1,2342970692219;1,32874263345322
2020-08-21;1,27668021295129;1,23157846898291;1,32258168090351
2020-08-22;1,24604402904312;1,20311505713348;1,28971501138167
2020-08-23;1,17222001001617;1,13204670136026;1,21308398541957
2020-08-24;1,12351975939278;1,08533786032085;1,16235249739012
2020-08-25;1,11101306452028;1,07387043839327;1,14877833970283
2020-08-26;1,09452319621098;1,05829143648929;1,13135626639895
2020-08-27;1,02449095271045;0,989961163870478;1,05960439787113
2020-08-28;1,07681714092796;1,04173694202128;1,1124701508014
2020-08-29;1,07983548066481;1,04498540227776;1,11524921244672
2020-08-30;1,04755080048719;1,01357978381116;1,08207394346797
2020-08-31;1,02067748909097;0,987458555342308;1,05443830523987
2020-09-01;0,990477611544816;0,957946323650217;1,023544505791
2020-09-02;1,01491978964042;0,982038707616605;1,04833475951068
2020-09-03;1,03247691901125;0,999331449840695;1,06615559122371
2020-09-04;1,06931896532326;1,03567519323304;1,10349299371578
2020-09-05;1,06119848236866;1,02790517776918;1,09501500323634
2020-09-06;1,07719591229556;1,04394571793857;1,11096008690249
2020-09-07;1,08049996691791;1,04752875214371;1,11397493783725
2020-09-08;1,11733558672365;1,08417082961319;1,15099302073023
2020-09-09;1,20499496611448;1,17101418725323;1,23945497961578
2020-09-10;1,20390717560388;1,17065999883183;1,23761339735065
2020-09-11;1,29945691330047;1,26582743243041;1,33352114118782
2020-09-12;1,2544572743013;1,22252034986117;1,28680026446145
2020-09-13;1,20406034602029;1,17389668062988;1,23460132017228
2020-09-14;1,22813086511868;1,1986315603332;1,25798378444945
2020-09-15;1,20699382415421;1,1786233306601;1,23569702887876
2020-09-16;1,21778125438987;1,19011506379496;1,24576091524592
2020-09-17;1,21397138895146;1,18714929676469;1,24108894714052
2020-09-18;1,24091790669604;1,21458807148408;1,26752615693453
2020-09-19;1,20700206005943;1,18183132746821;1,23243433603826
2020-09-20;1,14472014751247;1,12094811543939;1,16873814515058
2020-09-21;1,09157523666465;1,06894384669146;1,11444040397877
2020-09-22;1,05585768527977;1,03399875675421;1,07794207894011
2020-09-23;1,05521723210275;1,03361841627534;1,07703628684291
2020-09-24;1,00605211738148;0,985144418560549;1,02717630545332
2020-09-25;1,03559989333239;1,01448806889204;1,05692611422653
2020-09-26;1,04761948737601;1,02646070485351;1,06899113018492
2020-09-27;1,00633735528688;0,98571302655485;1,02717225461753
2020-09-28;0,999716698756204;0,979243799667883;1,02039846011468
2020-09-29;0,985802252726269;0,965499246397892;1,00631358078885
2020-09-30;0,992535759363265;0,972147179541302;1,01313298987028
2020-10-01;0,9860883093395;0,965736450550766;1,00664943743543
2020-10-02;1,02789690644272;1,00708084917995;1,04892294279061
2020-10-03;1,05396222460019;1,03289673147355;1,07523741332206
2020-10-04;1,0604330979745;1,03940679149385;1,08166702923288
2020-10-05;1,06656398148985;1,04563979308858;1,08769257941403
2020-10-06;1,07666002882593;1,05582626867012;1,09769450829988
2020-10-07;1,11840680195685;1,09738600065156;1,13962426068734
2020-10-08;1,12384681646639;1,10305627936658;1,14482876660973
2020-10-09;1,15270769805482;1,13199516042813;1,17360540932946
2020-10-10;1,15222346107282;1,13191027793322;1,17271479070841
2020-10-11;1,11292006252765;1,09337349974611;1,13263739879968

2020-10-12;1,10511344661729;1,08600295958911;1,1243883032342
2020-10-13;1,1090212570253;1,09018467799116;1,12801694042545
2020-10-14;1,12800256506799;1,10929386821241;1,14686554140365
2020-10-15;1,13101373248532;1,11258793203545;1,14958876155083
2020-10-16;1,17316737068027;1,15473464142188;1,1917440330669
2020-10-17;1,17848817415351;1,16039858819738;1,19671573335796
2020-10-18;1,14259811663548;1,12520815696053;1,16011958010021
2020-10-19;1,12565387363489;1,10878074086613;1,14265265895035
2020-10-20;1,12971142635113;1,11313652446326;1,14640712358292
2020-10-21;1,18435110582623;1,1676865526583;1,20113209634584
2020-10-22;1,25034968214244;1,23359108341631;1,26721978339839
2020-10-23;1,30955921847519;1,29289461080512;1,32632906086982
2020-10-24;1,32609807790594;1,30993549107555;1,34235839381975
2020-10-25;1,28186890761589;1,26663171789201;1,29719593918341
2020-10-26;1,24366399994931;1,22925808370061;1,25815267717874
2020-10-27;1,2753788294493;1,26131229912347;1,28952228377569
2020-10-28;1,29876142362894;1,28506352614917;1,31253093565878
2020-10-29;1,31647887983307;1,30320526767074;1,32981881846458
2020-10-30;1,34875972151135;1,33586350658543;1,36171703062853
2020-10-31;1,3404729763241;1,32817161673551;1,35283025693587
2020-11-01;1,30096653805941;1,28938770966587;1,31259640876465
2020-11-02;1,2713478691336;1,26038547409214;1,28235707581382
2020-11-03;1,25942630660879;1,24893543082155;1,26996045319585
2020-11-04;1,25274405701675;1,2426556505979;1,26287268577058
2020-11-05;1,23935233201003;1,22966359855687;1,24907856042781
2020-11-06;1,25325018112572;1,243830565236;1,26270483969879
