"Bundesland";"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
"Burgenland";2020-07-15;1,08053124776573;0,668865872778265;1,58932654841126
"Burgenland";2020-07-16;0,890984339258868;0,528053787082056;1,34729933604395
"Burgenland";2020-07-17;1,04471783801822;0,646696807684162;1,53664949439867

"Burgenland";2020-07-18;1,11351006410103;0,697830828856158;1,62474939719804
"Burgenland";2020-07-19;1,26068857450839;0,815851174246589;1,80077248124097
"Burgenland";2020-07-20;1,41009388584751;0,94436200592703;1,96770315976991
"Burgenland";2020-07-21;1,21776767375495;0,802516570373531;1,71822617137111
"Burgenland";2020-07-22;1,0477273510258;0,678033899020618;1,49657783827104
"Burgenland";2020-07-23;1,05111249010426;0,686621576101296;1,49197056360457
"Burgenland";2020-07-24;1,07979780526012;0,711593557662945;1,52355567385537
"Burgenland";2020-07-25;1,18939137385696;0,802477365346781;1,65122559935419
"Burgenland";2020-07-26;1,23599317083734;0,845418413881165;1,69956884453207
"Burgenland";2020-07-27;1,03204143781532;0,685784040443239;1,44793874675863
"Burgenland";2020-07-28;1,1074686632214;0,752471225821221;1,52998101189517
"Burgenland";2020-07-29;1,22834652962846;0,855588364591497;1,6674485504933
"Burgenland";2020-07-30;1,32122403769978;0,93951944856575;1,76698364855703
"Burgenland";2020-07-31;1,24032256588005;0,881990593486365;1,65878732925713
"Burgenland";2020-08-01;1,03969267360353;0,724184041579271;1,41135583464635
"Burgenland";2020-08-02;0,915240186409436;0,626023609977044;1,25851318824957
"Burgenland";2020-08-03;0,976306675013615;0,676120753813263;1,33077115988583
"Burgenland";2020-08-04;0,995871474366825;0,689669946116709;1,35743928722179
"Burgenland";2020-08-05;0,980856423416036;0,675176429784404;1,34271671201211
"Burgenland";2020-08-06;0,932137407584739;0,633342144127905;1,28775881561602
"Burgenland";2020-08-07;0,888361032013368;0,594949325431139;1,23965561956787
"Burgenland";2020-08-08;0,853729040827233;0,562612817402493;1,20458081851176
"Burgenland";2020-08-09;0,893025337763273;0,588509324696245;1,26002647312113
"Burgenland";2020-08-10;0,86706083641884;0,561116056605328;1,23851308352952
"Burgenland";2020-08-11;0,799982583415799;0,501344825927756;1,16727388649432
"Burgenland";2020-08-12;0,694119348778514;0,411379117072148;1,04961052236053
"Burgenland";2020-08-13;0,797671723421931;0,480250484958922;1,19431441895226
"Burgenland";2020-08-14;0,874952099607238;0,526778319719801;1,31002250395774
"Burgenland";2020-08-15;0,941027398615404;0,566559966054646;1,40895378110455
"Burgenland";2020-08-16;0,934939769818474;0,554104560981325;1,41376641049078
"Burgenland";2020-08-17;1,02137730519293;0,614935858626994;1,52925772214853
"Burgenland";2020-08-18;1,15295440443519;0,713696948228642;1,69585196898797
"Burgenland";2020-08-19;1,47204556146316;0,970087300623083;2,07700308003548
"Burgenland";2020-08-20;1,58257590831647;1,07528354817924;2,18634727104951
"Burgenland";2020-08-21;1,45114294144657;0,992580697708448;1,99541339744973
"Burgenland";2020-08-22;1,52494466818457;1,07914160730696;2,04662126222484
"Burgenland";2020-08-23;1,35192605144798;0,956703336558796;1,81441376829957
"Burgenland";2020-08-24;1,24835610572001;0,887703225640414;1,6695312554439
"Burgenland";2020-08-25;1,18380621944812;0,845728519009665;1,57784452064489
"Burgenland";2020-08-26;1,23088175097603;0,894360564575338;1,62030805809622
"Burgenland";2020-08-27;1,2212936596281;0,894140454459094;1,59866120071077
"Burgenland";2020-08-28;1,35675014238584;1,01923246402481;1,74179846914148
"Burgenland";2020-08-29;1,33258106304387;1,00928388374547;1,70010827636837
"Burgenland";2020-08-30;1,33232147971499;1,02148323884089;1,6838190863432
"Burgenland";2020-08-31;1,2825584667538;0,989851547448437;1,61260162865711
"Burgenland";2020-09-01;1,18489671073197;0,914478265971912;1,48980839084323
"Burgenland";2020-09-02;1,09611281039443;0,844140427854198;1,38049186807654
"Burgenland";2020-09-03;1,16875172253513;0,912804791897972;1,45584963788467
"Burgenland";2020-09-04;1,22343863660595;0,965518639565334;1,51142867100448
"Burgenland";2020-09-05;1,25686947261361;1,00108951914894;1,54130995443366
"Burgenland";2020-09-06;1,18265377005116;0,941977126326594;1,45029859356663
"Burgenland";2020-09-07;1,10288435967915;0,877156660931993;1,35406767379894
"Burgenland";2020-09-08;1,09770601532684;0,876808577170166;1,34304609624537
"Burgenland";2020-09-09;1,17992538877226;0,953499820479228;1,43011078103179
"Burgenland";2020-09-10;1,13899546900517;0,920424278990323;1,38050228876383
"Burgenland";2020-09-11;1,15243326473505;0,936640890864241;1,39026068817593
"Burgenland";2020-09-12;1,0516388716672;0,849831256183937;1,27462304179104
"Burgenland";2020-09-13;1,06623638796325;0,865622238942873;1,28744533896919
"Burgenland";2020-09-14;1,06889763209996;0,869697775863136;1,28833106852848
"Burgenland";2020-09-15;1,12495380780226;0,921926793647109;1,34788334412983
"Burgenland";2020-09-16;1,20066323070858;0,992981204626958;1,42777279053699
"Burgenland";2020-09-17;1,16254827695122;0,96227193695673;1,38147610941683
"Burgenland";2020-09-18;1,14673695608396;0,952295733636048;1,35897315062289
"Burgenland";2020-09-19;1,16143185402245;0,969668009163554;1,37024126116333
"Burgenland";2020-09-20;1,1137819500597;0,929885573928663;1,31402456254766
"Burgenland";2020-09-21;1,25611632672554;1,06375779744358;1,46422540475825
"Burgenland";2020-09-22;1,21137303810259;1,02703195214885;1,41070517105143
"Burgenland";2020-09-23;1,18642448090778;1,00917817348898;1,37779929329798
"Burgenland";2020-09-24;1,14380711232048;0,974452748281958;1,32653034532214
"Burgenland";2020-09-25;1,18650302621862;1,01768152397127;1,36808975348942
"Burgenland";2020-09-26;1,16585064927205;1,00218663503023;1,3417113415388
"Burgenland";2020-09-27;1,11250530284284;0,956329995274709;1,28031921007918
"Burgenland";2020-09-28;1,17012114331103;1,01280414062003;1,33862885817034
"Burgenland";2020-09-29;1,09632080050533;0,947098899330068;1,2562991360561
"Burgenland";2020-09-30;1,15650794108694;1,00571539446604;1,31767978632063
"Burgenland";2020-10-01;1,14724930354454;0,999674073348245;1,30483614593776
"Burgenland";2020-10-02;1,14285186485759;0,998389517037766;1,29693295980786
"Burgenland";2020-10-03;1,11737878360659;0,977333512432349;1,26666419274053
"Burgenland";2020-10-04;1,00211422174082;0,872045778272263;1,14109190934355
"Burgenland";2020-10-05;1,12181102399409;0,985185888875787;1,26717864276748
"Burgenland";2020-10-06;1,13269821860936;0,996629427208936;1,27734724569687
"Burgenland";2020-10-07;1,16835355597879;1,03215422074545;1,31287101142784
"Burgenland";2020-10-08;1,14720255358413;1,01490634173397;1,28748618214563
"Burgenland";2020-10-09;1,19994967897257;1,06734710722151;1,34020383588484
"Burgenland";2020-10-10;1,22857515684063;1,0974391439084;1,36700512590737
"Burgenland";2020-10-11;1,07338771597014;0,954381547686051;1,19928482827459
"Burgenland";2020-10-12;1,15042842262457;1,02964003710275;1,27781919602644
"Burgenland";2020-10-13;1,09405850484339;0,97833311252706;1,21615935088939
"Burgenland";2020-10-14;1,10476125719278;0,990275147753737;1,22541937672018
